pair_id,csv_file,name0,name1,rot0,rot1,num_matches,num_inliers,num_correct,precision,error_t,error_R,pose_error,estimated
scene0707_00_frame-000015.color_scene0707_00_frame-000585.color,scene0707_00_frame-000015.color_scene0707_00_frame-000585.color_matches.csv,scans_test/scene0707_00/sens/frame-000015.color.jpg,scans_test/scene0707_00/sens/frame-000585.color.jpg,0,0,141,75,67,0.475177304964539,81.88246096303835,10.512257699121777,81.88246096303835,True
scene0707_00_frame-000045.color_scene0707_00_frame-000105.color,scene0707_00_frame-000045.color_scene0707_00_frame-000105.color_matches.csv,scans_test/scene0707_00/sens/frame-000045.color.jpg,scans_test/scene0707_00/sens/frame-000105.color.jpg,0,0,108,43,17,0.1574074074074074,28.01048284300606,39.44608418928379,39.44608418928379,True
scene0707_00_frame-000045.color_scene0707_00_frame-000690.color,scene0707_00_frame-000045.color_scene0707_00_frame-000690.color_matches.csv,scans_test/scene0707_00/sens/frame-000045.color.jpg,scans_test/scene0707_00/sens/frame-000690.color.jpg,0,0,51,20,17,0.3333333333333333,34.47619588065717,48.69521302056404,48.69521302056404,True
scene0707_00_frame-000060.color_scene0707_00_frame-000585.color,scene0707_00_frame-000060.color_scene0707_00_frame-000585.color_matches.csv,scans_test/scene0707_00/sens/frame-000060.color.jpg,scans_test/scene0707_00/sens/frame-000585.color.jpg,0,0,110,76,12,0.10909090909090909,79.1516276768826,31.14299303022792,79.1516276768826,True
scene0707_00_frame-000090.color_scene0707_00_frame-000660.color,scene0707_00_frame-000090.color_scene0707_00_frame-000660.color_matches.csv,scans_test/scene0707_00/sens/frame-000090.color.jpg,scans_test/scene0707_00/sens/frame-000660.color.jpg,0,0,206,199,57,0.2766990291262136,30.10710421651116,3.857021786450618,30.10710421651116,True
scene0707_00_frame-000105.color_scene0707_00_frame-000600.color,scene0707_00_frame-000105.color_scene0707_00_frame-000600.color_matches.csv,scans_test/scene0707_00/sens/frame-000105.color.jpg,scans_test/scene0707_00/sens/frame-000600.color.jpg,0,0,49,16,1,0.02040816326530612,25.589952474867765,7.872493399728389,25.589952474867765,True
scene0707_00_frame-000135.color_scene0707_00_frame-000165.color,scene0707_00_frame-000135.color_scene0707_00_frame-000165.color_matches.csv,scans_test/scene0707_00/sens/frame-000135.color.jpg,scans_test/scene0707_00/sens/frame-000165.color.jpg,0,0,123,74,54,0.43902439024390244,34.46765488955248,25.42664837251404,34.46765488955248,True
scene0707_00_frame-000150.color_scene0707_00_frame-000660.color,scene0707_00_frame-000150.color_scene0707_00_frame-000660.color_matches.csv,scans_test/scene0707_00/sens/frame-000150.color.jpg,scans_test/scene0707_00/sens/frame-000660.color.jpg,0,0,75,17,23,0.30666666666666664,41.56444435429143,36.63862417705548,41.56444435429143,True
scene0707_00_frame-000150.color_scene0707_00_frame-000690.color,scene0707_00_frame-000150.color_scene0707_00_frame-000690.color_matches.csv,scans_test/scene0707_00/sens/frame-000150.color.jpg,scans_test/scene0707_00/sens/frame-000690.color.jpg,0,0,112,80,64,0.5714285714285714,12.123593919171094,16.120326274294758,16.120326274294758,True
scene0707_00_frame-000165.color_scene0707_00_frame-000660.color,scene0707_00_frame-000165.color_scene0707_00_frame-000660.color_matches.csv,scans_test/scene0707_00/sens/frame-000165.color.jpg,scans_test/scene0707_00/sens/frame-000660.color.jpg,0,0,190,144,45,0.23684210526315788,39.181414832665865,47.3198212012832,47.3198212012832,True
scene0707_00_frame-000375.color_scene0707_00_frame-000450.color,scene0707_00_frame-000375.color_scene0707_00_frame-000450.color_matches.csv,scans_test/scene0707_00/sens/frame-000375.color.jpg,scans_test/scene0707_00/sens/frame-000450.color.jpg,0,0,106,46,51,0.4811320754716981,12.064524141827576,37.232491172406306,37.232491172406306,True
scene0707_00_frame-000510.color_scene0707_00_frame-000540.color,scene0707_00_frame-000510.color_scene0707_00_frame-000540.color_matches.csv,scans_test/scene0707_00/sens/frame-000510.color.jpg,scans_test/scene0707_00/sens/frame-000540.color.jpg,0,0,93,17,31,0.3333333333333333,29.522446992854313,25.882328277872176,29.522446992854313,True
scene0707_00_frame-000525.color_scene0707_00_frame-000540.color,scene0707_00_frame-000525.color_scene0707_00_frame-000540.color_matches.csv,scans_test/scene0707_00/sens/frame-000525.color.jpg,scans_test/scene0707_00/sens/frame-000540.color.jpg,0,0,247,69,147,0.5951417004048583,70.92962825175468,4.644054021519584,70.92962825175468,True
scene0707_00_frame-000585.color_scene0707_00_frame-000630.color,scene0707_00_frame-000585.color_scene0707_00_frame-000630.color_matches.csv,scans_test/scene0707_00/sens/frame-000585.color.jpg,scans_test/scene0707_00/sens/frame-000630.color.jpg,0,0,153,140,40,0.26143790849673204,53.37898695133869,29.08140730523144,53.37898695133869,True
scene0707_00_frame-000765.color_scene0707_00_frame-000780.color,scene0707_00_frame-000765.color_scene0707_00_frame-000780.color_matches.csv,scans_test/scene0707_00/sens/frame-000765.color.jpg,scans_test/scene0707_00/sens/frame-000780.color.jpg,0,0,271,238,170,0.6273062730627307,72.02183191449686,13.963633713904825,72.02183191449686,True
scene0708_00_frame-000015.color_scene0708_00_frame-000960.color,scene0708_00_frame-000015.color_scene0708_00_frame-000960.color_matches.csv,scans_test/scene0708_00/sens/frame-000015.color.jpg,scans_test/scene0708_00/sens/frame-000960.color.jpg,0,0,43,7,1,0.023255813953488372,74.51489265357124,46.43650786376903,74.51489265357124,True
scene0708_00_frame-000060.color_scene0708_00_frame-001125.color,scene0708_00_frame-000060.color_scene0708_00_frame-001125.color_matches.csv,scans_test/scene0708_00/sens/frame-000060.color.jpg,scans_test/scene0708_00/sens/frame-001125.color.jpg,0,0,154,88,27,0.17532467532467533,70.41200275380443,8.416605746026825,70.41200275380443,True
scene0708_00_frame-000075.color_scene0708_00_frame-001140.color,scene0708_00_frame-000075.color_scene0708_00_frame-001140.color_matches.csv,scans_test/scene0708_00/sens/frame-000075.color.jpg,scans_test/scene0708_00/sens/frame-001140.color.jpg,0,0,115,65,23,0.2,55.80158088099093,5.443637989483387,55.80158088099093,True
scene0708_00_frame-000105.color_scene0708_00_frame-000165.color,scene0708_00_frame-000105.color_scene0708_00_frame-000165.color_matches.csv,scans_test/scene0708_00/sens/frame-000105.color.jpg,scans_test/scene0708_00/sens/frame-000165.color.jpg,0,0,263,214,127,0.4828897338403042,21.584874542572322,15.773260895387086,21.584874542572322,True
scene0708_00_frame-000165.color_scene0708_00_frame-000225.color,scene0708_00_frame-000165.color_scene0708_00_frame-000225.color_matches.csv,scans_test/scene0708_00/sens/frame-000165.color.jpg,scans_test/scene0708_00/sens/frame-000225.color.jpg,0,0,64,31,16,0.25,50.15523399291223,29.08847873546645,50.15523399291223,True
scene0708_00_frame-000210.color_scene0708_00_frame-000255.color,scene0708_00_frame-000210.color_scene0708_00_frame-000255.color_matches.csv,scans_test/scene0708_00/sens/frame-000210.color.jpg,scans_test/scene0708_00/sens/frame-000255.color.jpg,0,0,39,14,6,0.15384615384615385,59.76824672117989,35.39081059908097,59.76824672117989,True
scene0708_00_frame-000225.color_scene0708_00_frame-000240.color,scene0708_00_frame-000225.color_scene0708_00_frame-000240.color_matches.csv,scans_test/scene0708_00/sens/frame-000225.color.jpg,scans_test/scene0708_00/sens/frame-000240.color.jpg,0,0,237,229,131,0.5527426160337553,61.94226271583874,14.187222225739509,61.94226271583874,True
scene0708_00_frame-000300.color_scene0708_00_frame-000360.color,scene0708_00_frame-000300.color_scene0708_00_frame-000360.color_matches.csv,scans_test/scene0708_00/sens/frame-000300.color.jpg,scans_test/scene0708_00/sens/frame-000360.color.jpg,0,0,69,11,13,0.18840579710144928,41.01052213899027,10.244428596874195,41.01052213899027,True
scene0708_00_frame-000420.color_scene0708_00_frame-000480.color,scene0708_00_frame-000420.color_scene0708_00_frame-000480.color_matches.csv,scans_test/scene0708_00/sens/frame-000420.color.jpg,scans_test/scene0708_00/sens/frame-000480.color.jpg,0,0,62,9,6,0.0967741935483871,49.87873839637417,10.882615315063779,49.87873839637417,True
scene0708_00_frame-000525.color_scene0708_00_frame-000645.color,scene0708_00_frame-000525.color_scene0708_00_frame-000645.color_matches.csv,scans_test/scene0708_00/sens/frame-000525.color.jpg,scans_test/scene0708_00/sens/frame-000645.color.jpg,0,0,87,46,49,0.5632183908045977,79.86755792845705,19.374734613915432,79.86755792845705,True
scene0708_00_frame-000540.color_scene0708_00_frame-000645.color,scene0708_00_frame-000540.color_scene0708_00_frame-000645.color_matches.csv,scans_test/scene0708_00/sens/frame-000540.color.jpg,scans_test/scene0708_00/sens/frame-000645.color.jpg,0,0,85,42,38,0.4470588235294118,76.78162565451788,16.909427480983496,76.78162565451788,True
scene0708_00_frame-000555.color_scene0708_00_frame-000645.color,scene0708_00_frame-000555.color_scene0708_00_frame-000645.color_matches.csv,scans_test/scene0708_00/sens/frame-000555.color.jpg,scans_test/scene0708_00/sens/frame-000645.color.jpg,0,0,110,62,57,0.5181818181818182,80.35129217522982,17.189954031622413,80.35129217522982,True
scene0708_00_frame-000645.color_scene0708_00_frame-000675.color,scene0708_00_frame-000645.color_scene0708_00_frame-000675.color_matches.csv,scans_test/scene0708_00/sens/frame-000645.color.jpg,scans_test/scene0708_00/sens/frame-000675.color.jpg,0,0,189,111,130,0.6878306878306878,59.872996906724396,14.864065294642632,59.872996906724396,True
scene0708_00_frame-000660.color_scene0708_00_frame-000690.color,scene0708_00_frame-000660.color_scene0708_00_frame-000690.color_matches.csv,scans_test/scene0708_00/sens/frame-000660.color.jpg,scans_test/scene0708_00/sens/frame-000690.color.jpg,0,0,183,115,91,0.4972677595628415,63.072523025682415,13.746696591061777,63.072523025682415,True
scene0708_00_frame-000990.color_scene0708_00_frame-001035.color,scene0708_00_frame-000990.color_scene0708_00_frame-001035.color_matches.csv,scans_test/scene0708_00/sens/frame-000990.color.jpg,scans_test/scene0708_00/sens/frame-001035.color.jpg,0,0,113,54,57,0.504424778761062,39.69878956290509,9.012001646529583,39.69878956290509,True
scene0709_00_frame-000015.color_scene0709_00_frame-000930.color,scene0709_00_frame-000015.color_scene0709_00_frame-000930.color_matches.csv,scans_test/scene0709_00/sens/frame-000015.color.jpg,scans_test/scene0709_00/sens/frame-000930.color.jpg,0,0,94,34,55,0.5851063829787234,31.862018306417895,23.957470711814025,31.862018306417895,True
scene0709_00_frame-000030.color_scene0709_00_frame-000090.color,scene0709_00_frame-000030.color_scene0709_00_frame-000090.color_matches.csv,scans_test/scene0709_00/sens/frame-000030.color.jpg,scans_test/scene0709_00/sens/frame-000090.color.jpg,0,0,268,168,137,0.5111940298507462,19.445126987207004,18.564653470053003,19.445126987207004,True
scene0709_00_frame-000045.color_scene0709_00_frame-000930.color,scene0709_00_frame-000045.color_scene0709_00_frame-000930.color_matches.csv,scans_test/scene0709_00/sens/frame-000045.color.jpg,scans_test/scene0709_00/sens/frame-000930.color.jpg,0,0,85,28,28,0.32941176470588235,69.11374246407817,17.95744343219683,69.11374246407817,True
